범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
절도,33639 ,12748 ,9309 ,8183 ,4945 ,5081 ,2103 ,1043 ,37403 ,4202 ,5270 ,7149 ,5612 ,5786 ,8616 ,12638 ,3055 
장물,39 ,74 ,7 ,20 ,6 ,6 ,5 ,1 ,66 ,10 ,11 ,14 ,5 ,8 ,7 ,14 ,9 
사기,52627 ,26364 ,15393 ,15390 ,7943 ,9321 ,4288 ,1119 ,75380 ,7745 ,9433 ,10731 ,10524 ,9374 ,13688 ,23892 ,4769 
횡령,13728 ,3560 ,2352 ,3710 ,1606 ,1295 ,466 ,185 ,13914 ,918 ,1111 ,1563 ,1109 ,1309 ,1506 ,2400 ,856 
배임,1068 ,545 ,149 ,203 ,133 ,131 ,63 ,24 ,899 ,90 ,82 ,150 ,121 ,139 ,150 ,276 ,59 
손괴,9413 ,3525 ,2587 ,3132 ,1498 ,1570 ,714 ,246 ,14404 ,1718 ,1850 ,2336 ,1709 ,2049 ,2814 ,3585 ,1247 
살인,130 ,48 ,27 ,46 ,13 ,19 ,8 ,4 ,159 ,15 ,19 ,34 ,27 ,37 ,32 ,55 ,19 
강도,125 ,51 ,23 ,34 ,16 ,10 ,5 ,1 ,90 ,11 ,12 ,25 ,21 ,12 ,22 ,40 ,13 
방화,187 ,52 ,55 ,54 ,21 ,40 ,20 ,2 ,242 ,38 ,32 ,65 ,35 ,47 ,44 ,76 ,15 
성폭력,8459 ,2185 ,1291 ,2213 ,859 ,1020 ,366 ,139 ,7826 ,783 ,831 ,1178 ,926 ,1067 ,1346 ,1843 ,566 
폭행,24030 ,7972 ,5492 ,8085 ,3714 ,3895 ,1636 ,320 ,31916 ,3294 ,3163 ,3508 ,3792 ,4003 ,4422 ,7775 ,2498 
상해,3413 ,2855 ,1797 ,1828 ,843 ,885 ,608 ,147 ,5738 ,1232 ,1292 ,1546 ,1070 ,1630 ,2174 ,3091 ,713 
협박,3889 ,1414 ,933 ,1321 ,489 ,642 ,267 ,110 ,6093 ,671 ,546 ,844 ,605 ,854 ,847 ,1451 ,526 
공갈,1015 ,373 ,188 ,521 ,128 ,170 ,51 ,31 ,1434 ,147 ,158 ,267 ,169 ,175 ,270 ,393 ,97 
약취와 유인,56 ,12 ,6 ,18 ,9 ,9 ,3 ,3 ,70 ,5 ,8 ,10 ,3 ,5 ,20 ,10 ,4 
체포와 감금,276 ,90 ,54 ,114 ,65 ,39 ,15 ,5 ,317 ,47 ,42 ,54 ,57 ,48 ,60 ,101 ,17 
"폭력행위등(손괴,강요,주거침입등)",210 ,73 ,44 ,85 ,39 ,26 ,27 ,4 ,309 ,30 ,46 ,49 ,45 ,50 ,69 ,75 ,28 
"폭력행위등(단체등의구성, 활동)",11 ,4 ,4 ,5 ,6 ,1 ,1 ,0 ,27 ,1 ,28 ,18 ,13 ,5 ,7 ,2 ,0 
통화,130 ,22 ,9 ,17 ,7 ,7 ,0 ,0 ,77 ,11 ,19 ,23 ,5 ,11 ,19 ,18 ,4 
유가증권·인지·우표,32 ,5 ,1 ,5 ,0 ,1 ,1 ,0 ,16 ,0 ,6 ,1 ,8 ,1 ,0 ,5 ,0 
문서,2492 ,937 ,590 ,589 ,397 ,329 ,278 ,42 ,2847 ,325 ,378 ,461 ,507 ,428 ,590 ,1057 ,178 
인장,78 ,31 ,25 ,39 ,18 ,12 ,11 ,1 ,110 ,7 ,12 ,22 ,162 ,31 ,15 ,53 ,5 
직무유기,294 ,152 ,52 ,82 ,73 ,38 ,26 ,21 ,194 ,40 ,46 ,39 ,51 ,89 ,92 ,123 ,11 
직권남용,364 ,158 ,57 ,89 ,96 ,57 ,38 ,14 ,264 ,45 ,40 ,37 ,66 ,82 ,68 ,98 ,15 
수뢰,106 ,37 ,6 ,182 ,39 ,10 ,9 ,2 ,92 ,11 ,8 ,13 ,12 ,20 ,15 ,19 ,5 
증뢰,35 ,10 ,1 ,11 ,13 ,5 ,1 ,0 ,29 ,0 ,2 ,3 ,3 ,3 ,2 ,2 ,0 
도박과 복표,995 ,487 ,189 ,265 ,105 ,172 ,37 ,12 ,2397 ,262 ,157 ,197 ,163 ,242 ,213 ,348 ,80 
신앙,17 ,5 ,1 ,3 ,9 ,2 ,2 ,2 ,47 ,12 ,9 ,19 ,23 ,51 ,18 ,25 ,7 
기타음란행위,587 ,182 ,121 ,183 ,70 ,110 ,29 ,14 ,700 ,43 ,52 ,83 ,63 ,64 ,74 ,148 ,39 
과실치사상,493 ,188 ,111 ,140 ,35 ,66 ,19 ,9 ,708 ,114 ,77 ,82 ,83 ,81 ,115 ,159 ,77 
업무상 과실치사상,520 ,290 ,121 ,181 ,88 ,64 ,44 ,20 ,863 ,100 ,99 ,130 ,104 ,201 ,163 ,276 ,75 
실화,393 ,114 ,69 ,115 ,51 ,40 ,34 ,13 ,603 ,81 ,103 ,136 ,96 ,108 ,142 ,121 ,64 
명예,7853 ,2794 ,1124 ,1925 ,915 ,860 ,373 ,144 ,7592 ,773 ,719 ,952 ,930 ,1019 ,1098 ,1880 ,458 
권리행사방해,854 ,447 ,264 ,379 ,217 ,205 ,103 ,43 ,1510 ,175 ,241 ,344 ,253 ,273 ,365 ,526 ,119 
신용업무경매,3866 ,1330 ,648 ,1167 ,611 ,436 ,219 ,46 ,4345 ,594 ,416 ,546 ,403 ,677 ,653 ,1159 ,458 
주거침입,4036 ,1155 ,744 ,1451 ,338 ,421 ,175 ,80 ,4404 ,602 ,524 ,622 ,653 ,614 ,786 ,1185 ,745 
비밀침해,29 ,5 ,2 ,9 ,2 ,4 ,0 ,2 ,27 ,1 ,5 ,2 ,5 ,6 ,10 ,13 ,0 
유기,121 ,15 ,13 ,19 ,7 ,7 ,4 ,2 ,41 ,5 ,2 ,6 ,4 ,8 ,13 ,2 ,4 
교통방해,67 ,29 ,34 ,53 ,30 ,13 ,23 ,11 ,345 ,119 ,85 ,126 ,111 ,108 ,143 ,124 ,28 
공무방해,1981 ,744 ,470 ,610 ,246 ,294 ,157 ,41 ,1889 ,377 ,259 ,410 ,262 ,334 ,455 ,848 ,263 
도주와범인은닉,38 ,10 ,17 ,20 ,8 ,17 ,3 ,0 ,38 ,7 ,5 ,13 ,11 ,11 ,10 ,22 ,7 
위증과 증거인멸,503 ,134 ,123 ,91 ,89 ,60 ,7 ,2 ,399 ,63 ,33 ,58 ,84 ,82 ,60 ,122 ,23 
무고,1128 ,376 ,181 ,214 ,146 ,120 ,28 ,19 ,1013 ,144 ,103 ,168 ,173 ,177 ,167 ,315 ,79 
공안을 해하는죄,78 ,18 ,11 ,13 ,5 ,5 ,0 ,0 ,41 ,6 ,0 ,9 ,3 ,3 ,3 ,8 ,1 
내란의죄,12 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 
음용수에 관한죄,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,4 ,3 ,1 ,3 ,0 ,8 ,0 ,3 ,0 
일수와 수리에 관한죄,0 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,2 ,3 ,1 ,0 
기타,9 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
가정폭력 범죄의 처벌등에 관한 특례법,224 ,42 ,58 ,62 ,26 ,60 ,9 ,10 ,306 ,20 ,25 ,44 ,18 ,42 ,47 ,62 ,33 
가축분뇨의 관리 및 이용에 관한법률,0 ,2 ,6 ,5 ,0 ,2 ,3 ,4 ,171 ,28 ,51 ,122 ,158 ,69 ,118 ,96 ,0 
감염병의 예방 및 관리에 관한법률,1840 ,769 ,535 ,548 ,125 ,87 ,71 ,24 ,1757 ,173 ,178 ,305 ,107 ,203 ,162 ,470 ,104 
개발제한구역의 지정 및 관리에 관한 특별조치법,34 ,51 ,11 ,55 ,1 ,6 ,7 ,0 ,268 ,0 ,0 ,3 ,0 ,16 ,1 ,39 ,0 
개인정보보호법,553 ,209 ,63 ,133 ,84 ,58 ,19 ,18 ,444 ,47 ,35 ,97 ,65 ,75 ,132 ,151 ,26 
건강기능식품에 관한법률,45 ,7 ,6 ,16 ,3 ,2 ,0 ,0 ,63 ,7 ,2 ,4 ,1 ,4 ,5 ,18 ,0 
건설기계관리법,15 ,7 ,3 ,19 ,3 ,2 ,4 ,1 ,104 ,16 ,16 ,18 ,10 ,17 ,19 ,26 ,5 
건설산업기본법,120 ,49 ,17 ,23 ,10 ,10 ,12 ,4 ,198 ,25 ,23 ,23 ,20 ,15 ,15 ,63 ,18 
건축법,243 ,114 ,12 ,116 ,10 ,53 ,7 ,14 ,790 ,131 ,152 ,287 ,102 ,54 ,137 ,73 ,65 
게임산업진흥에 관한법률,252 ,176 ,153 ,111 ,124 ,77 ,53 ,13 ,682 ,122 ,172 ,136 ,112 ,148 ,192 ,215 ,37 
결혼중개업의 관리에 관한법률,12 ,4 ,1 ,3 ,0 ,0 ,0 ,0 ,8 ,1 ,6 ,1 ,1 ,0 ,1 ,1 ,0 
경범죄처벌법,1896 ,473 ,312 ,566 ,149 ,176 ,67 ,14 ,2011 ,199 ,99 ,128 ,133 ,207 ,200 ,340 ,130 
고용보험법,442 ,123 ,98 ,7 ,113 ,5 ,132 ,0 ,1163 ,55 ,113 ,158 ,46 ,46 ,126 ,235 ,47 
공유수면관리 및 매립에 관한법률,0 ,1445 ,0 ,258 ,0 ,0 ,7 ,0 ,43 ,20 ,2 ,2034 ,2 ,13 ,14 ,1280 ,9 
공유재산 및 물품관리법,1 ,27 ,1 ,2 ,0 ,0 ,0 ,0 ,20 ,6 ,4 ,2 ,3 ,2 ,8 ,4 ,3 
공인중개사법,152 ,80 ,69 ,41 ,22 ,14 ,5 ,25 ,253 ,27 ,19 ,39 ,23 ,16 ,43 ,100 ,16 
공중위생관리법,424 ,385 ,42 ,117 ,59 ,16 ,7 ,2 ,150 ,50 ,9 ,33 ,320 ,15 ,28 ,48 ,15 
공직선거법,164 ,48 ,3 ,2 ,7 ,3 ,6 ,1 ,26 ,6 ,1 ,6 ,5 ,27 ,6 ,20 ,0 
관세법,76 ,74 ,9 ,166 ,11 ,0 ,3 ,0 ,7 ,1 ,0 ,1 ,5 ,10 ,1 ,29 ,0 
교통사고처리 특례법,25580 ,8889 ,9149 ,5642 ,6247 ,5798 ,2006 ,599 ,42017 ,5251 ,6151 ,6179 ,4619 ,6421 ,8938 ,9208 ,2931 
국가기술자격법,5 ,10 ,2 ,1 ,0 ,1 ,0 ,1 ,16 ,2 ,3 ,2 ,0 ,2 ,2 ,5 ,0 
국가보안법,52 ,2 ,0 ,6 ,0 ,0 ,2 ,0 ,11 ,1 ,4 ,1 ,1 ,1 ,1 ,1 ,0 
국민체육진흥법,126 ,45 ,21 ,50 ,9 ,4 ,6 ,0 ,234 ,15 ,3 ,13 ,5 ,8 ,19 ,28 ,2 
국토의계획 및 이용에 관한법률,12 ,14 ,9 ,66 ,5 ,3 ,28 ,14 ,517 ,59 ,83 ,94 ,68 ,61 ,124 ,158 ,9 
근로기준법,5213 ,1995 ,1401 ,2 ,1355 ,42 ,620 ,0 ,9899 ,876 ,718 ,1821 ,1107 ,841 ,982 ,2102 ,0 
근로자 퇴직급여 보장법,1903 ,545 ,434 ,0 ,258 ,12 ,200 ,0 ,2606 ,163 ,201 ,423 ,208 ,222 ,277 ,639 ,0 
낚시관리 및 육성법,0 ,6 ,0 ,19 ,0 ,0 ,2 ,0 ,34 ,2 ,0 ,14 ,0 ,16 ,64 ,340 ,5 
노동조합 및 노동관계 조정법,88 ,55 ,37 ,2 ,36 ,2 ,23 ,0 ,112 ,31 ,3 ,42 ,22 ,16 ,19 ,38 ,0 
농수산물유통 및 가격안정에 관한법률,4 ,9 ,7 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 
농수산물의 원산지표시에 관한법률,75 ,150 ,1 ,71 ,7 ,13 ,1 ,20 ,623 ,121 ,101 ,188 ,268 ,241 ,249 ,182 ,3 
농지법,4 ,10 ,6 ,68 ,15 ,7 ,13 ,23 ,672 ,35 ,27 ,60 ,115 ,63 ,119 ,75 ,55 
대기환경보전법,165 ,128 ,52 ,153 ,64 ,44 ,32 ,3 ,1273 ,44 ,98 ,94 ,75 ,67 ,198 ,377 ,0 
대부업 등의 등록 및 금융이용자 보호에 관한법률,172 ,80 ,40 ,41 ,25 ,13 ,24 ,1 ,186 ,16 ,10 ,16 ,21 ,18 ,20 ,56 ,20 
도로교통법,2603 ,770 ,486 ,758 ,247 ,162 ,393 ,30 ,3285 ,334 ,333 ,516 ,265 ,378 ,543 ,755 ,213 
도로교통법(무면허운전),2600 ,1201 ,1174 ,1085 ,384 ,293 ,423 ,49 ,4356 ,738 ,910 ,897 ,448 ,895 ,1216 ,1493 ,320 
도로교통법(사고후미조치),840 ,232 ,404 ,365 ,340 ,82 ,163 ,33 ,3607 ,274 ,228 ,411 ,246 ,453 ,434 ,622 ,248 
도로교통법(음주운전),9070 ,3913 ,4415 ,4724 ,3373 ,2191 ,2021 ,413 ,25740 ,3335 ,3365 ,5119 ,3359 ,4475 ,5557 ,7835 ,2150 
도로교통법(음주측정거부),296 ,145 ,124 ,109 ,105 ,53 ,42 ,20 ,828 ,151 ,131 ,272 ,130 ,201 ,230 ,338 ,68 
도로법,143 ,206 ,152 ,374 ,73 ,47 ,30 ,14 ,1587 ,138 ,83 ,406 ,179 ,106 ,216 ,548 ,4 
도시 및 주거환경 정비법,137 ,88 ,53 ,18 ,15 ,20 ,3 ,0 ,93 ,17 ,5 ,4 ,17 ,3 ,2 ,22 ,0 
독점규제 및 공정거래에 관한법률,22 ,5 ,0 ,2 ,0 ,1 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 
디자인보호법,42 ,19 ,5 ,10 ,0 ,21 ,0 ,0 ,70 ,3 ,1 ,5 ,2 ,2 ,3 ,4 ,1 
마약류 관리에 관한법률(대마),589 ,61 ,23 ,422 ,23 ,9 ,4 ,0 ,322 ,25 ,19 ,36 ,10 ,11 ,52 ,64 ,12 
마약류 관리에 관한법률(마약),97 ,36 ,42 ,25 ,7 ,15 ,6 ,13 ,323 ,76 ,116 ,125 ,25 ,90 ,184 ,152 ,6 
마약류 관리에 관한법률(향정),1609 ,599 ,267 ,845 ,110 ,91 ,36 ,27 ,1417 ,85 ,121 ,151 ,80 ,117 ,155 ,309 ,20 
물환경보전법,25 ,38 ,8 ,21 ,6 ,5 ,18 ,0 ,210 ,14 ,35 ,51 ,28 ,18 ,42 ,82 ,0 
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,42 ,0 ,0 ,17 
범죄수익 은닉의 규제 및 처벌 등에 관한법률,42 ,26 ,32 ,11 ,15 ,16 ,6 ,0 ,78 ,2 ,3 ,9 ,8 ,10 ,17 ,7 ,2 
변호사법,101 ,28 ,6 ,16 ,25 ,6 ,2 ,4 ,111 ,7 ,6 ,5 ,10 ,18 ,5 ,11 ,2 
병역법,305 ,82 ,98 ,132 ,52 ,50 ,14 ,6 ,362 ,45 ,56 ,63 ,52 ,55 ,93 ,118 ,21 
보조금관리에 관한법률,43 ,38 ,26 ,26 ,17 ,7 ,9 ,3 ,67 ,17 ,13 ,30 ,20 ,41 ,17 ,293 ,4 
부동산 실권리자 명의 등기에 관한법률,47 ,22 ,18 ,15 ,12 ,9 ,4 ,7 ,119 ,19 ,21 ,24 ,19 ,17 ,16 ,30 ,14 
부정경쟁방지 및 영업비밀 보호에 관한법률,154 ,22 ,17 ,20 ,6 ,45 ,4 ,2 ,122 ,6 ,8 ,18 ,8 ,11 ,13 ,29 ,2 
부정수표단속법,231 ,67 ,107 ,13 ,3 ,3 ,1 ,2 ,140 ,13 ,9 ,6 ,10 ,4 ,7 ,45 ,8 
사행행위 등 규제 및 처벌특례법,30 ,23 ,2 ,13 ,9 ,3 ,0 ,2 ,44 ,1 ,4 ,8 ,0 ,3 ,8 ,30 ,2 
산림자원의 조성 및 관리에 관한법률,10 ,8 ,4 ,16 ,4 ,5 ,4 ,8 ,75 ,109 ,50 ,74 ,89 ,62 ,167 ,49 ,2 
산업안전보건법,568 ,308 ,182 ,1 ,228 ,12 ,138 ,1 ,1546 ,197 ,118 ,372 ,181 ,140 ,204 ,281 ,0 
산지관리법,12 ,13 ,4 ,44 ,4 ,4 ,17 ,41 ,567 ,272 ,205 ,377 ,207 ,172 ,377 ,207 ,0 
상표법,1021 ,303 ,165 ,211 ,69 ,238 ,20 ,5 ,527 ,27 ,54 ,49 ,48 ,30 ,66 ,113 ,21 
석유 및 석유대체연료 사업법,11 ,143 ,22 ,24 ,5 ,18 ,4 ,3 ,63 ,8 ,18 ,25 ,70 ,26 ,23 ,37 ,1 
선박안전법,0 ,715 ,0 ,26 ,0 ,0 ,6 ,0 ,6 ,23 ,0 ,10 ,133 ,55 ,6 ,1100 ,11 
선박직원법,0 ,6 ,0 ,178 ,0 ,0 ,898 ,0 ,1 ,2 ,0 ,255 ,654 ,1251 ,3 ,164 ,402 
성매매알선 등 행위의 처벌에 관한법률,585 ,400 ,70 ,146 ,79 ,46 ,5 ,7 ,1377 ,31 ,46 ,39 ,99 ,54 ,82 ,112 ,43 
수도법,18 ,6 ,7 ,3 ,0 ,11 ,2 ,0 ,47 ,7 ,21 ,4 ,8 ,5 ,8 ,30 ,0 
수산업법,0 ,45 ,0 ,35 ,0 ,0 ,10 ,0 ,30 ,879 ,0 ,49 ,322 ,341 ,12 ,71 ,21 
수산자원관리법,0 ,76 ,1 ,14 ,0 ,0 ,3 ,0 ,29 ,47 ,0 ,91 ,155 ,242 ,167 ,48 ,11 
스토킹범죄의처벌등에관한법률,247 ,60 ,47 ,84 ,19 ,27 ,9 ,2 ,230 ,52 ,25 ,39 ,28 ,30 ,39 ,58 ,28 
식품위생법,1096 ,906 ,145 ,195 ,172 ,95 ,49 ,23 ,979 ,105 ,130 ,265 ,340 ,105 ,143 ,388 ,24 
신용정보의 이용 및 보호에 관한법률,9 ,2 ,4 ,2 ,2 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
아동·청소년의 성보호에 관한법률(성매수등),41 ,18 ,17 ,28 ,5 ,15 ,2 ,2 ,91 ,12 ,5 ,8 ,10 ,8 ,54 ,11 ,11 
아동·청소년의 성보호에 관한법률(성착취물등),350 ,101 ,66 ,138 ,30 ,41 ,23 ,12 ,472 ,30 ,42 ,77 ,42 ,65 ,60 ,102 ,21 
아동복지법,2169 ,657 ,447 ,789 ,252 ,446 ,366 ,72 ,3943 ,274 ,364 ,639 ,374 ,414 ,399 ,715 ,259 
액화석유가스의 안전관리 및 사업법,6 ,4 ,7 ,5 ,2 ,4 ,1 ,0 ,29 ,9 ,9 ,13 ,5 ,9 ,20 ,25 ,0 
약사법,239 ,89 ,30 ,67 ,79 ,36 ,6 ,2 ,204 ,8 ,50 ,26 ,24 ,22 ,22 ,26 ,8 
여객자동차 운수 사업법,45 ,9 ,12 ,10 ,11 ,7 ,2 ,1 ,205 ,6 ,1 ,60 ,3 ,6 ,11 ,24 ,5 
여신전문 금융업법,328 ,232 ,86 ,143 ,79 ,80 ,14 ,23 ,382 ,41 ,55 ,77 ,54 ,75 ,71 ,164 ,21 
영유아보육법,18 ,11 ,3 ,9 ,2 ,2 ,2 ,0 ,55 ,3 ,2 ,7 ,6 ,2 ,4 ,9 ,2 
예비군법,34 ,13 ,8 ,43 ,6 ,12 ,6 ,1 ,71 ,7 ,20 ,14 ,3 ,6 ,9 ,16 ,6 
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,24 ,4 ,3 ,8 ,0 ,4 ,2 ,0 ,54 ,3 ,1 ,4 ,0 ,3 ,2 ,24 ,4 
외국환거래법,90 ,9 ,6 ,89 ,5 ,0 ,3 ,1 ,28 ,0 ,1 ,4 ,0 ,2 ,1 ,5 ,2 
위험물 안전관리법,7 ,6 ,26 ,40 ,5 ,7 ,18 ,1 ,254 ,24 ,26 ,36 ,78 ,23 ,25 ,20 ,0 
유사수신행위의 규제에 관한법률,244 ,39 ,17 ,10 ,19 ,20 ,6 ,0 ,72 ,6 ,20 ,9 ,17 ,8 ,10 ,59 ,2 
의료기기법,119 ,20 ,14 ,12 ,9 ,13 ,2 ,0 ,63 ,5 ,7 ,3 ,5 ,1 ,2 ,10 ,1 
의료법,692 ,214 ,69 ,118 ,113 ,52 ,35 ,11 ,661 ,61 ,52 ,77 ,57 ,54 ,72 ,150 ,20 
자동차관리법,6838 ,3002 ,1595 ,1536 ,1102 ,518 ,327 ,120 ,7042 ,504 ,831 ,905 ,952 ,498 ,869 ,1766 ,112 
자동차 손해배상 보장법,1480 ,1231 ,726 ,1027 ,424 ,362 ,361 ,74 ,4256 ,373 ,910 ,1020 ,1149 ,613 ,1327 ,1166 ,94 
자본시장과 금융투자업에 관한법률,285 ,8 ,16 ,15 ,7 ,7 ,1 ,0 ,69 ,32 ,1 ,4 ,9 ,0 ,4 ,9 ,1 
저작권법,1710 ,442 ,270 ,433 ,129 ,274 ,45 ,43 ,1916 ,133 ,116 ,161 ,143 ,104 ,224 ,329 ,42 
전자금융거래법,1259 ,571 ,323 ,441 ,174 ,282 ,129 ,24 ,1864 ,200 ,192 ,249 ,226 ,203 ,394 ,538 ,125 
전파법,126 ,55 ,39 ,0 ,24 ,22 ,5 ,0 ,4 ,14 ,18 ,1 ,16 ,0 ,972 ,1 ,83 
정보통신망이용촉진 및 정보보호 등에 관한법률,5693 ,1128 ,540 ,1139 ,352 ,467 ,151 ,89 ,5387 ,342 ,380 ,483 ,404 ,388 ,587 ,893 ,228 
조세범처벌법,526 ,118 ,94 ,120 ,72 ,48 ,28 ,8 ,553 ,18 ,50 ,68 ,69 ,43 ,76 ,163 ,7 
주민등록법,291 ,140 ,103 ,108 ,39 ,35 ,18 ,8 ,415 ,36 ,56 ,54 ,75 ,60 ,40 ,108 ,13 
주차장법,34 ,1 ,4 ,1 ,0 ,1 ,2 ,0 ,5 ,0 ,1 ,3 ,0 ,1 ,0 ,1 ,19 
주택법,69 ,66 ,55 ,109 ,23 ,9 ,13 ,4 ,233 ,4 ,24 ,8 ,60 ,50 ,6 ,23 ,4 
직업안정법,26 ,4 ,11 ,2 ,6 ,7 ,2 ,1 ,21 ,3 ,3 ,17 ,3 ,18 ,5 ,16 ,3 
집회 및 시위에 관한법률,175 ,14 ,5 ,8 ,7 ,2 ,10 ,0 ,29 ,11 ,3 ,10 ,2 ,2 ,7 ,20 ,2 
청소년보호법,701 ,299 ,224 ,281 ,198 ,198 ,77 ,40 ,1056 ,157 ,189 ,240 ,240 ,228 ,296 ,522 ,75 
총포·도검·화약류등의 안전관리에 관한법률,86 ,24 ,31 ,17 ,9 ,2 ,3 ,1 ,66 ,12 ,22 ,9 ,21 ,14 ,7 ,10 ,14 
최저임금법,111 ,84 ,79 ,0 ,25 ,0 ,14 ,0 ,171 ,14 ,14 ,32 ,27 ,14 ,33 ,56 ,0 
축산물 위생관리법,40 ,19 ,34 ,18 ,2 ,12 ,2 ,0 ,73 ,3 ,13 ,14 ,11 ,3 ,11 ,27 ,1 
출입국관리법,157 ,69 ,73 ,105 ,39 ,10 ,19 ,2 ,365 ,22 ,72 ,89 ,50 ,78 ,56 ,98 ,42 
통신비밀 보호법,80 ,18 ,12 ,16 ,14 ,10 ,5 ,3 ,49 ,9 ,8 ,10 ,15 ,8 ,15 ,20 ,3 
특가법(도주차량),976 ,573 ,552 ,987 ,279 ,213 ,121 ,22 ,2520 ,250 ,229 ,412 ,293 ,354 ,513 ,448 ,98 
특허법,24 ,2 ,5 ,9 ,0 ,56 ,3 ,0 ,31 ,3 ,1 ,3 ,1 ,1 ,0 ,2 ,1 
폐기물관리법,63 ,64 ,61 ,45 ,39 ,19 ,35 ,1 ,873 ,54 ,115 ,107 ,108 ,93 ,227 ,295 ,7 
풍속영업의 규제에 관한법률,19 ,7 ,3 ,6 ,0 ,2 ,1 ,0 ,24 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 
하천법,3 ,333 ,0 ,0 ,1 ,2 ,8 ,0 ,56 ,32 ,6 ,2 ,12 ,2 ,1317 ,21 ,0 
학교보건법,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
학원의 설립운영 및 과외교습에 관한법률,68 ,28 ,39 ,12 ,4 ,30 ,3 ,1 ,85 ,5 ,3 ,13 ,6 ,29 ,14 ,34 ,6 
화물자동차 운수 사업법,295 ,58 ,34 ,72 ,16 ,33 ,17 ,4 ,2344 ,20 ,16 ,22 ,23 ,34 ,15 ,68 ,8 
화재로 인한 재해보상과 보험가입에 관한법률,0 ,1 ,2 ,6 ,0 ,1 ,1 ,0 ,4 ,1 ,6 ,12 ,1 ,2 ,1 ,1 ,0 
화재예방·소방시설설치유지 및 안전관리에 관한법률,67 ,16 ,12 ,53 ,17 ,4 ,8 ,1 ,187 ,16 ,12 ,45 ,37 ,10 ,7 ,25 ,0 
화학물질관리법,152 ,12 ,14 ,33 ,39 ,19 ,70 ,0 ,134 ,14 ,25 ,10 ,7 ,10 ,4 ,67 ,2 
기타특별법,7145 ,5487 ,1208 ,6135 ,830 ,923 ,1516 ,145 ,9669 ,3140 ,1270 ,1987 ,2949 ,6895 ,3750 ,4707 ,700 
